X Coordinates: ,Y Coordinates: ,Angle (Radian): ,Angle (Degree): ,Distance (Milimeters): 
-1587.03,2439.45,2.14757,123.047,2910.25
-1598.18,2340.38,2.16993,124.328,2834
-4602.68,4722.23,2.34338,134.266,6594.25
-2293.89,999.652,2.73062,156.453,2502.25
-1105.54,438.277,2.76416,158.375,1189.25
-1096.67,406.967,2.78625,159.641,1169.75
-1125.09,388.431,2.80916,160.953,1190.25
-1181.44,380.672,2.82989,162.141,1241.25
-1238.53,368.711,2.85225,163.422,1292.25
-1207.25,329.845,2.87488,164.719,1251.5
-1181.57,292.549,2.89888,166.094,1217.25
-1175.48,263.965,2.9207,167.344,1204.75
-180.864,15.1781,3.05787,175.203,181.5
-172.677,10.5618,3.0805,176.5,173
-198.351,7.68541,3.10287,177.781,198.5
-397.398,8.99759,3.11896,178.703,397.5
-345.827,-10.9426,3.17322,181.812,346
-326.952,-22.8618,3.2114,184,327.75
-325.56,-27.8558,3.22695,184.891,326.75
-314.896,-34.2251,3.24985,186.203,316.75
-339.82,-51.8282,3.29294,188.672,343.75
-335.932,-58.5719,3.31421,189.891,341
-334.963,-65.204,3.33385,191.016,341.25
-332.305,-73.099,3.35812,192.406,340.25
-329.455,-83.0009,3.38839,194.141,339.75
-328.97,-87.8578,3.40257,194.953,340.5
-326.521,-94.7848,3.42411,196.188,340
-324.769,-102.301,3.44675,197.484,340.5
-321.356,-111.043,3.47429,199.062,340
-320.682,-117.411,3.49256,200.109,341.5
-317.971,-125.251,3.51684,201.5,341.75
-317.46,-131.191,3.53347,202.453,343.5
-314.257,-141.149,3.56374,204.188,344.5
-313.887,-147.933,3.58201,205.234,347
-311.268,-155.616,3.60519,206.562,348
-307.787,-165.054,3.63383,208.203,349.25
-306.462,-170.092,3.64828,209.031,350.5
-305.053,-178.124,3.6701,210.281,353.25
-303.226,-186.043,3.69191,211.531,355.75
-299.406,-194.435,3.71755,213,357
-297.154,-204.107,3.74346,214.484,360.5
0,0,3.78682,216.969,0
-314.434,-535.801,4.1817,239.594,621.25
-290.424,-643.773,4.2886,245.719,706.25
-266.383,-627.553,4.31096,247,681.75
-249.573,-625.552,4.33278,248.25,673.5
-232.136,-624.501,4.3565,249.609,666.25
-214.817,-622.211,4.37995,250.953,658.25
-199.253,-618.969,4.40095,252.156,650.25
-182.101,-615.372,4.42468,253.516,641.75
-165.579,-614.586,4.44922,254.922,636.5
-151.486,-612.546,4.46995,256.109,631
-135.543,-612.174,4.49449,257.516,627
-121.407,-607.742,4.51522,258.703,619.75
-107.518,-607.814,4.53731,259.969,617.25
-92.7719,-604.928,4.56021,261.281,612
-78.5079,-602.658,4.58285,262.578,607.75
-64.7454,-601.777,4.60521,263.859,605.25
-49.6285,-601.205,4.63003,265.281,603.25
-37.5261,-600.078,4.64993,266.422,601.25
-22.4549,-596.327,4.67475,267.844,596.75
5.5515,-598.974,4.72166,270.531,599
17.2138,-612.758,4.74047,271.609,613
30.7282,-589.45,4.76447,272.984,590.25
44.7979,-589.801,4.7882,274.344,591.5
58.3081,-587.112,4.81138,275.672,590
69.9594,-588.355,4.83074,276.781,592.5
84.3773,-586.461,4.85528,278.188,592.5
97.3462,-583.688,4.87765,279.469,591.75
109.632,-583.541,4.8981,280.641,593.75
122.963,-582.411,4.92046,281.922,595.25
137.262,-581.52,4.94419,283.281,597.5
148.213,-578.31,4.96328,284.375,597
162.682,-578.044,4.98673,285.719,600.5
176.843,-576.747,5.00991,287.047,603.25
174.73,-444.651,5.08681,291.453,477.75
181.143,-427.724,5.11299,292.953,464.5
0,0,5.15581,295.406,0
291.509,-566.385,5.18771,297.234,637
314.518,-585.353,5.20544,298.25,664.5
323.128,-565.721,5.23135,299.734,651.5
339.225,-563.526,5.25425,301.047,657.75
355.425,-562.64,5.2758,302.281,665.5
373.46,-562.574,5.29843,303.578,675.25
388.195,-558.61,5.3197,304.797,680.25
426.126,-560.072,5.36279,307.266,703.75
453.964,-572.317,5.38297,308.422,730.5
459.416,-551.78,5.4067,309.781,718
479.44,-552.145,5.42742,310.969,731.25
501.831,-550.966,5.45115,312.328,745.25
534.295,-562.42,5.47215,313.531,775.75
782.469,-110.626,6.14274,351.953,790.25
774.618,-91.472,6.16564,353.266,780
776.388,-74.9755,6.18691,354.484,780
771.653,-56.9246,6.20955,355.781,773.75
770.464,-39.961,6.23137,357.031,771.5
768.685,-22.0208,6.25455,358.359,769
766.731,-5.44058,6.27609,359.594,766.75
X Coordinates: ,Y Coordinates: ,Angle (Radian): ,Angle (Degree): ,Distance (Milimeters): 
763.637,13.121,0.0171806,0.984375,763.75
763.225,28.3196,0.0370882,2.125,763.75
760.816,46.7417,0.0613592,3.51562,762.25
0,0,0.128991,7.39062,0
1937.99,253.528,0.130081,7.45312,1954.5
1887.27,288.897,0.151898,8.70312,1909.25
1881.23,331.711,0.174533,10,1910.25
1906.19,380.246,0.196895,11.2812,1943.75
1890.5,420.736,0.218984,12.5469,1936.75
1700.66,422.052,0.243255,13.9375,1752.25
1671.26,454.658,0.265617,15.2188,1732
1670.19,493.246,0.287161,16.4531,1741.5
1673.21,536.102,0.310068,17.7656,1757
1677.35,579.093,0.33243,19.0469,1774.5
1702.07,629.508,0.354247,20.2969,1814.75
3506.8,1728.17,0.457876,26.2344,3909.5
1663.98,883.005,0.487874,27.9531,1883.75
1621.56,907.538,0.510236,29.2344,1858.25
573.136,372.866,0.576776,33.0469,683.75
517.51,357.965,0.605138,34.6719,629.25
505.936,366.952,0.6275,35.9531,625
478.792,366.561,0.653407,37.4375,603
467.671,373.879,0.674406,38.6406,598.75
455.551,381.195,0.696768,39.9219,594
443.668,389.3,0.72022,41.2656,590.25
434.157,399.14,0.743401,42.5938,589.75
366.656,354.849,0.769035,44.0625,510.25
346.187,351.706,0.793306,45.4531,493.5
331.253,354.255,0.818941,46.9219,485
317.487,355.323,0.841575,48.2188,476.5
74.2579,115.724,1.00029,57.3125,137.5
72.1728,118.209,1.02265,58.5938,138.5
0,0,1.04883,60.0938,0
69.2051,121.699,1.05374,60.375,140
0,0,1.07147,61.3906,0
65.5635,125.112,1.0881,62.3438,141.25
65.9027,126.345,1.09001,62.4531,142.5
64.2781,130.253,1.11237,63.7344,145.25
61.4551,131.884,1.13474,65.0156,145.5
61.0525,158.659,1.20346,68.9531,170
55.2915,153.867,1.22582,70.2344,163.5
51.9957,155.539,1.24818,71.5156,164
48.357,156.185,1.27054,72.7969,163.5
37.6914,159.096,1.33818,76.6719,163.5
34.2289,160.388,1.36054,77.9531,164
0,0,1.36299,78.0938,0
30.3103,159.648,1.38317,79.25,162.5
26.5295,158.799,1.40526,80.5156,161
23.2491,161.586,1.4279,81.8125,163.25
0,0,1.43035,81.9531,0
0,0,1.45299,83.25,0
0,0,1.47535,84.5312,0
15.508,183.596,1.48653,85.1719,184.25
11.5381,186.143,1.50889,86.4531,186.5
0,0,1.58743,90.9531,0
-5.43958,199.426,1.59807,91.5625,199.5
0,0,1.61006,92.25,0
-9.65241,203.271,1.61825,92.7188,203.5
-13.3931,206.065,1.6357,93.7188,206.5
0,0,1.65479,94.8125,0
-19.9501,210.808,1.66515,95.4062,211.75
0,0,1.67715,96.0938,0
-36.4309,231.653,1.72678,98.9375,234.5
0,0,1.76714,101.25,0
-50.501,251.734,1.76878,101.344,256.75
-60.9165,257.133,1.80341,103.328,264.25
-83.0023,312.153,1.83069,104.891,323
-649.85,1904.16,1.89968,108.844,2012
0,0,1.90159,108.953,0
-701.044,1911.5,1.92231,110.141,2036
-749.571,1912.08,1.9444,111.406,2053.75
-794.295,1898.54,1.96704,112.703,2058
-842.414,1897.67,1.98858,113.938,2076.25
-890.76,1887.36,2.01176,115.266,2087
-940.736,1888.12,2.03303,116.484,2109.5
-998.675,1896.92,2.0554,117.766,2143.75
-1376.46,2494.43,2.07503,118.891,2849
-1431.14,2461.73,2.09739,120.172,2847.5
-1556.92,2420.51,2.14239,122.75,2878
-1601.42,2371.42,2.16475,124.031,2861.5
-3735.79,4849.4,2.2272,127.609,6121.5
-4403.99,4769.45,2.31638,132.719,6491.75
-4579.26,4739.39,2.33901,134.016,6590.25
-4652.99,4605.04,2.36137,135.297,6546.5
-4712.12,4459.46,2.38374,136.578,6487.75
-4883.7,4419.07,2.4061,137.859,6586.25
-5044.57,4365.91,2.42819,139.125,6671.5
-5254.02,4345.55,2.45055,140.406,6818.25
-5398.17,3703.57,2.54027,145.547,6546.5
-2305.8,1016.08,2.72653,156.219,2519.75
-1090.44,410.077,2.78189,159.391,1165
-1114.2,390.804,2.80425,160.672,1180.75
-1167.42,379.321,2.82743,162,1227.5
-1257.97,380.481,2.84788,163.172,1314.25
-1209.11,335.32,2.87106,164.5,1254.75
-1180.45,298.085,2.89424,165.828,1217.5
-1169.41,266.962,2.91715,167.141,1199.5
